Processo;Status;Duracao_Total_s;Etapa_Falha;Mensagem_Erro
0012995-96.2014.8.03.0001;Sucesso;64.34;;
0017294-14.2017.8.03.0001;Falha;6.31;;
0049671-31.2005.8.04.0001;Falha;0.0;;
0000056-42.2015.8.04.4101;Falha;0.0;;
0613470-73.2014.8.04.0001;Falha;0.0;;
0620636-78.2022.8.04.0001;Falha;0.0;;
0116193-49.2025.8.04.1000;Falha;0.0;;
0617409-95.2013.8.04.0001;Falha;0.0;;
0000041-84.2014.8.14.0074;Falha;0.0;;
0005163-50.2014.8.14.0051;Falha;0.0;;
0804364-22.2022.8.14.0009;Falha;0.0;;
0001142-61.2012.8.14.0096;Falha;0.0;;
0001425-52.2013.8.14.0063;Falha;0.0;;
0001445-27.2012.8.14.0015;Falha;0.0;;
0003997-09.2014.8.14.0301;Falha;0.0;;
0006500-66.2013.8.14.0065;Falha;0.0;;
0040960-84.2012.8.14.0301;Falha;0.0;;
0044578-03.2013.8.14.0301;Falha;0.0;;
0057772-07.2012.8.14.0301;Falha;0.0;;
0000467-41.2017.8.14.0123;Falha;0.0;;
0002513-97.2016.8.14.0006;Falha;0.0;;
0004062-04.2014.8.14.0301;Falha;0.0;;
0009714-73.2014.8.14.0051;Falha;0.0;;
0007461-05.2020.8.14.0051;Falha;0.0;;
0049029-85.2016.8.14.0133;Falha;0.0;;
0052411-38.2014.8.14.0301;Falha;0.0;;
0059947-66.2015.8.14.0301;Falha;0.0;;
0063060-91.2016.8.14.0301;Falha;0.0;;
0068455-44.2015.8.14.0028;Falha;0.0;;
0010129-87.2017.8.14.0039;Falha;0.0;;
0800038-93.2020.8.14.0104;Falha;0.0;;
0801089-57.2017.8.14.0133;Falha;0.0;;
0821707-04.2017.8.14.0301;Falha;0.0;;
0800209-89.2019.8.14.0070;Falha;0.0;;
0800595-54.2019.8.14.0124;Falha;0.0;;
0812215-46.2021.8.14.0301;Falha;0.0;;
0800184-61.2025.8.14.0104;Falha;0.0;;
0075898-21.2019.8.17.2001;Falha;0.0;;
0101603-34.2013.8.20.0130;Falha;0.0;;
0808048-32.2016.8.20.5106;Falha;0.0;;
0800653-25.2022.8.20.5123;Falha;0.0;;
0800867-50.2025.8.20.5110;Falha;0.0;;
0875852-60.2024.8.20.5001;Falha;0.0;;
7000624-42.2017.8.22.0002;Falha;0.0;;
7003740-56.2017.8.22.0002;Falha;0.0;;
7001368-29.2025.8.22.0011;Falha;0.0;;
7023270-68.2025.8.22.0001;Falha;0.0;;
7033133-19.2023.8.22.0001;Falha;0.0;;
0847531-81.2025.8.14.0301;Falha;0.0;;
0800937-58.2025.8.14.0123;Falha;0.0;;
0223954-57.2010.8.04.0001;Falha;0.0;;
0800258-03.2022.8.14.0046;Falha;0.0;;
7004905-36.2025.8.22.0010;Falha;0.0;;
0007835-63.2016.8.14.0050;Falha;0.0;;
7035964-69.2025.8.22.0001;Falha;0.0;;
0836722-39.2019.8.20.5001;Falha;0.0;;
0003620-56.2007.8.14.0051;Falha;0.0;;
7001188-07.2025.8.22.0013;Falha;0.0;;
0800212-96.2025.8.20.5104;Falha;0.0;;
0003455-91.2013.8.22.0013;Falha;0.0;;
7011545-77.2024.8.22.0014;Falha;0.0;;
7001510-45.2025.8.22.0007;Falha;0.0;;
0889826-70.2024.8.14.0301;Falha;0.0;;
7001868-83.2025.8.22.0015;Falha;0.0;;
0000100-61.2015.8.04.4101;Falha;0.0;;
0800592-32.2024.8.14.0025;Falha;0.0;;
0806227-48.2025.8.14.0028;Falha;0.0;;
7001817-45.2024.8.22.0003;Falha;0.0;;
0801168-85.2025.8.14.0123;Falha;0.0;;
0800217-59.2025.8.14.0069;Falha;0.0;;
0800320-03.2025.8.14.0090;Falha;0.0;;
0801665-72.2022.8.14.0069;Falha;0.0;;
0814212-66.2023.8.20.5106;Falha;0.0;;
0605692-55.2023.8.04.6300;Falha;0.0;;
7003237-15.2025.8.22.0015;Falha;0.0;;
0100252-13.2014.8.20.0123;Falha;0.0;;
0600061-25.2017.8.04.0001;Falha;0.0;;
0700130-89.2024.8.01.0070;Falha;0.0;;
0702648-36.2022.8.01.0001;Falha;0.0;;
0723134-71.2024.8.01.0001;Falha;0.0;;
6000982-50.2025.8.03.0009;Falha;0.0;;
6025530-66.2025.8.03.0001;Falha;0.0;;
6061113-49.2024.8.03.0001;Falha;0.0;;
0829178-87.2025.8.20.5001;Falha;0.0;;
6000563-45.2025.8.03.0004;Falha;0.0;;
6056900-97.2024.8.03.0001;Falha;0.0;;
6032650-63.2025.8.03.0001;Falha;0.0;;
6034934-44.2025.8.03.0001;Falha;0.0;;
6001407-63.2023.8.03.0004;Falha;0.0;;
6006631-17.2025.8.03.0002;Falha;0.0;;
