Processo;Status;Duracao_Total_s;Etapa_Falha;Mensagem_Erro
0022045-56.2006.8.20.0001;Falha;65.33;Salvar;Falha ao salvar: a notificação de sucesso não foi encontrada.
0662042-84.2019.8.04.0001;Falha;13.34;Escritório Responsável;Sem detalhes
0800886-97.2023.8.20.5119;Falha;0.0;;
0800586-05.2024.8.14.0064;Falha;0.0;;
7002051-60.2025.8.22.0013;Falha;0.0;;
0800330-30.2020.8.14.0023;Falha;0.0;;
0002915-59.2013.8.14.0015;Falha;0.0;;
0000005-96.2004.8.14.0009;Falha;0.0;;
0842604-82.2019.8.14.0301;Falha;0.0;;
0801532-33.2020.8.14.0123;Falha;0.0;;
0000181-71.2003.8.20.0128;Falha;0.0;;
0000413-42.1996.8.20.0124;Falha;0.0;;
0830812-97.2020.8.14.0301;Falha;0.0;;
0805277-49.2023.8.14.0015;Falha;0.0;;
0814378-88.2024.8.20.5001;Falha;0.0;;
0800507-65.2025.8.14.0072;Falha;0.0;;
0002033-18.1998.8.14.0006;Falha;0.0;;
0000013-75.1999.8.14.0096;Falha;0.0;;
0135677-16.2013.8.20.0001;Falha;0.0;;
0806269-17.2018.8.20.5124;Falha;0.0;;
0000181-68.2017.8.14.0089;Falha;0.0;;
0800053-31.2018.8.20.5127;Falha;0.0;;
0025065-43.2017.8.03.0001;Falha;0.0;;
0613148-82.2016.8.04.0001;Falha;0.0;;
0324264-55.2016.8.14.0301;Falha;0.0;;
0010941-59.2016.8.14.0009;Falha;0.0;;
7009654-04.2017.8.22.0002;Falha;0.0;;
0702109-85.2013.8.01.0001;Falha;0.0;;
0005212-54.2018.8.14.0115;Falha;0.0;;
0852898-98.2016.8.20.5001;Falha;0.0;;
0853675-83.2016.8.20.5001;Falha;0.0;;
0021527-75.2004.8.14.0301;Falha;0.0;;
0000355-14.2002.8.14.0045;Falha;0.0;;
0001239-74.2009.8.20.0104;Falha;0.0;;
0000426-15.2010.8.14.0028;Falha;0.0;;
0004062-68.2011.8.20.0001;Falha;0.0;;
0004565-10.2010.8.14.0028;Falha;0.0;;
0004566-96.2010.8.14.0028;Falha;0.0;;
0002185-80.2011.8.14.0039;Falha;0.0;;
0041736-88.2010.8.03.0001;Falha;0.0;;
0012897-25.2010.8.22.0001;Falha;0.0;;
0802916-75.2011.8.20.0124;Falha;0.0;;
0000094-55.2011.8.20.0122;Falha;0.0;;
0120698-20.2011.8.20.0001;Falha;0.0;;
0021652-38.2010.8.22.0001;Falha;0.0;;
0241292-44.2010.8.04.0001;Falha;0.0;;
0001976-15.2013.8.04.6302;Falha;0.0;;
0000474-96.2010.8.14.0052;Falha;0.0;;
0000484-15.2010.8.14.0052;Falha;0.0;;
0000483-20.2010.8.14.0052;Falha;0.0;;
0002605-39.2011.8.14.0301;Falha;0.0;;
0000195-93.2011.8.14.0014;Falha;0.0;;
0000196-77.2011.8.20.0122;Falha;0.0;;
0000971-16.2011.8.20.0115;Falha;0.0;;
0001065-27.2012.8.20.0115;Falha;0.0;;
0614097-14.2013.8.04.0001;Falha;0.0;;
0100262-53.2015.8.20.0113;Falha;0.0;;
0025415-76.2012.8.22.0001;Falha;0.0;;
0000451-89.2013.8.04.3200;Falha;0.0;;
0801009-19.2018.8.20.5104;Falha;0.0;;
0821731-34.2019.8.20.5106;Falha;0.0;;
0715600-15.2012.8.04.0001;Falha;0.0;;
0821833-39.2016.8.23.0010;Falha;0.0;;
0707569-82.2015.8.01.0001;Falha;0.0;;
0701278-32.2016.8.01.0001;Falha;0.0;;
0001967-28.2016.8.04.4401;Falha;0.0;;
0001695-59.2012.8.01.0003;Falha;0.0;;
0060795-87.2014.8.14.0301;Falha;0.0;;
0000104-20.2014.8.04.7501;Falha;0.0;;
0000913-75.2015.8.14.0006;Falha;0.0;;
0001068-48.2015.8.14.0501;Falha;0.0;;
0031481-61.2016.8.03.0001;Falha;0.0;;
0814722-50.2016.8.20.5001;Falha;0.0;;
0004097-56.2017.8.14.0301;Falha;0.0;;
0632686-20.2014.8.04.0001;Falha;0.0;;
0615306-47.2015.8.04.0001;Falha;0.0;;
0830392-65.2015.8.20.5001;Falha;0.0;;
0165243-43.2016.8.14.0301;Falha;0.0;;
0023997-30.2014.8.14.0301;Falha;0.0;;
0844929-66.2015.8.20.5001;Falha;0.0;;
0001506-62.2019.8.14.0104;Falha;0.0;;
0101081-82.2013.8.20.0105;Falha;0.0;;
0000241-16.2014.8.03.0004;Falha;0.0;;
0627385-92.2014.8.04.0001;Falha;0.0;;
0646722-90.2016.8.14.0301;Falha;0.0;;
0721627-66.2016.8.14.0301;Falha;0.0;;
0857868-44.2016.8.20.5001;Falha;0.0;;
0601416-70.2017.8.04.0001;Falha;0.0;;
0842035-49.2017.8.20.5001;Falha;0.0;;
0842306-61.2017.8.14.0301;Falha;0.0;;
0817224-91.2018.8.14.0301;Falha;0.0;;
7000855-04.2019.8.22.0001;Falha;0.0;;
0624755-24.2018.8.04.0001;Falha;0.0;;
0012279-96.2018.8.14.0074;Falha;0.0;;
0135064-29.2016.8.14.0301;Falha;0.0;;
0610357-14.2014.8.04.0001;Falha;0.0;;
0008244-41.2013.8.14.0051;Falha;0.0;;
